日积月累,ri4 ji1 yue4 lei3,to accumulate over a long period of time
太平盛世,tai4 ping2 sheng4 shi4,peace and prosperity (idiom)
国泰民安,guo2 tai4 min2 an1,the country prospers - the people at peace (idiom)
丰衣足食,feng1 yi1 zu2 shi2,having ample food and clothing (idiom)
安居乐业,an1 ju1 le4 ye4,to live in peace and work happily (idiom)
政通人和,zheng4 tong1 ren2 he2,efficient government - people at peace (idiom)
人寿年丰,ren2 shou4 nian2 feng1,long-lived people - rich harvests (idiom)
夜不闭户,ye4 bu4 bi4 hu4,lit. doors not locked at night (idiom)
路不拾遗,lu4 bu4 shi2 yi2,lit. no one picks up lost articles in the street (idiom)
多事之秋,duo1 shi4 zhi1 qiu1,troubled times
兵荒马乱,bing1 huang1 ma3 luan4,soldiers munity and troops rebel (idiom)
流离失所,liu2 li2 shi1 suo3,destitute and homeless (idiom)
生灵涂炭,sheng1 ling2 tu2 tan4,people are in a terrible situation (idiom)
家破人亡,jia1 po4 ren2 wang2,family bankrupt and the people dead (idiom)
哀鸿遍野,ai1 hong2 bian4 ye3,lit. plaintive whine of geese (idiom)
民不聊生,min2 bu4 liao2 sheng1,The people have no way to make a living (idiom)
内忧外患,nei4 you1 wai4 huan4,internal trouble and outside aggression (idiom)
